sample	pop	lat	lon
1254	SWE	59.4333	17.0167
1257	SWE	59.4382	17.0217
1552	SWE	63.0833	18.3667
5856	SWE	63.0167	17.4914
5860	SWE	62.6814	18.0165
6009	SWE	62.877	18.177
6010	SWE	62.8921	18.1922
6011	SWE	62.8923	18.1924
6013	SWE	62.8927	18.1928
6016	SWE	62.9	18.4
6017	SWE	62.9159	18.416
6024	SWE	55.7676	13.388
6025	SWE	62.6437	17.7339
6184	SWE	62.8892	18.4522
6209	SWE	62.8836	18.1842
6210	SWE	62.8839	18.1836
6214	SWE	63.0175	18.3281
6216	SWE	63.0167	18.3283
6217	SWE	63.0169	18.3283
6218	SWE	63.0172	18.3283
6961	ESP	38.3333	-3.53333
6970	ESP	41.7194	2.93056
6971	ESP	41.7457	2.95696
7327	ESP	41.7833	3.03333
7328	ESP	41.8118	3.06193
8264	ESP	41.6833	2.8
8357	ESP	41.5	2.25
9514	ESP	39.15	-4.54
9515	ESP	39.72	-6.89
9518	ESP	39.88	-0.36
9519	ESP	41.94	2.64
9520	ESP	41.7	-3.68
9521	ESP	41.43	2.13
9522	ESP	36.52	-5.27
9524	ESP	42.52	-0.56
9525	ESP	42.49	0.54
9526	ESP	41.54	2.39
9528	ESP	40.94	-1.37
9531	ESP	41.21	-4.54
9532	ESP	42.23	-4.64
